x     ,  delta_x   ,  f_prime_x     , Centre error  ,  discreet value
0 ,0.01    ,      2      ,   0.0003  ,      2.0003
0.01 ,0.01    ,      2.0009      ,   0.0003  ,      2.0012
0.02 ,0.01    ,      2.0036      ,   0.0003  ,      2.0039
0.03 ,0.01    ,      2.0081      ,   0.0003  ,      2.0084
0.04 ,0.01    ,      2.0144      ,   0.0003  ,      2.0147
0.05 ,0.01    ,      2.0225      ,   0.0003  ,      2.0228
0.06 ,0.01    ,      2.0324      ,   0.0003  ,      2.0327
0.07 ,0.01    ,      2.0441      ,   0.0003  ,      2.0444
0.08 ,0.01    ,      2.0576      ,   0.0003  ,      2.0579
0.09 ,0.01    ,      2.0729      ,   0.0003  ,      2.0732
0.1 ,0.01    ,      2.09      ,   0.0003  ,      2.0903
0.11 ,0.01    ,      2.1089      ,   0.0003  ,      2.1092
0.12 ,0.01    ,      2.1296      ,   0.0003  ,      2.1299
0.13 ,0.01    ,      2.1521      ,   0.0003  ,      2.1524
0.14 ,0.01    ,      2.1764      ,   0.0003  ,      2.1767
0.15 ,0.01    ,      2.2025      ,   0.0003  ,      2.2028
0.16 ,0.01    ,      2.2304      ,   0.0003  ,      2.2307
0.17 ,0.01    ,      2.2601      ,   0.0003  ,      2.2604
0.18 ,0.01    ,      2.2916      ,   0.0003  ,      2.2919
0.19 ,0.01    ,      2.3249      ,   0.0003  ,      2.3252
0.2 ,0.01    ,      2.36      ,   0.0003  ,      2.3603
0.21 ,0.01    ,      2.3969      ,   0.0003  ,      2.3972
0.22 ,0.01    ,      2.4356      ,   0.0003  ,      2.4359
0.23 ,0.01    ,      2.4761      ,   0.0003  ,      2.4764
0.24 ,0.01    ,      2.5184      ,   0.0003  ,      2.5187
0.25 ,0.01    ,      2.5625      ,   0.0003  ,      2.5628
0.26 ,0.01    ,      2.6084      ,   0.0003  ,      2.6087
0.27 ,0.01    ,      2.6561      ,   0.0003  ,      2.6564
0.28 ,0.01    ,      2.7056      ,   0.0003  ,      2.7059
0.29 ,0.01    ,      2.7569      ,   0.0003  ,      2.7572
0.3 ,0.01    ,      2.81      ,   0.0003  ,      2.8103
0.31 ,0.01    ,      2.8649      ,   0.0003  ,      2.8652
0.32 ,0.01    ,      2.9216      ,   0.0003  ,      2.9219
0.33 ,0.01    ,      2.9801      ,   0.0003  ,      2.9804
0.34 ,0.01    ,      3.0404      ,   0.0003  ,      3.0407
0.35 ,0.01    ,      3.1025      ,   0.0003  ,      3.1028
0.36 ,0.01    ,      3.1664      ,   0.0003  ,      3.1667
0.37 ,0.01    ,      3.2321      ,   0.0003  ,      3.2324
0.38 ,0.01    ,      3.2996      ,   0.0003  ,      3.2999
0.39 ,0.01    ,      3.3689      ,   0.0003  ,      3.3692
0.4 ,0.01    ,      3.44      ,   0.0003  ,      3.4403
0.41 ,0.01    ,      3.5129      ,   0.0003  ,      3.5132
0.42 ,0.01    ,      3.5876      ,   0.0003  ,      3.5879
0.43 ,0.01    ,      3.6641      ,   0.0003  ,      3.6644
